,text,emotion,length
1, 아빠는 없다. 나에게 아빠는 없다. 나에게 아빠는 없었다. 애초에 그건 나에게 없는 단어였다,unknown,52
2,"다들 바쁘게 사는 것 같은데 나만 멈춰 있는 기분이 든다. 뒤처진 것도, 앞서간 것도 아닌데 그냥 어딘가에 떠 있는 느낌. 목적도, 방향도 없고, 그저 존재만 하고 있는 것 같다.",unknown,100
3,"요즘 뭘 해도 재미가 없다. 좋아하던 영화도, 음악도, 아무런 감흥이 없다. 감정이 사라진 것처럼 느껴진다. 나한테 무슨 일이 일어나고 있는 걸까. 무기력하다는 말로도 설명이 안 된다.",unknown,103
4,"하루 종일 아무 말도 하지 않았다. 말을 걸 사람도 없고, 굳이 이야기할 이유도 없었다. 조용한 게 편한 건지, 외로운 건지 잘 모르겠다. 오늘 하루가 있었는지도 잘 모르겠는 그런 하루였다.",unknown,106
5,"사람들과 어울려도 외롭고, 혼자 있어도 외롭다. 누군가에게 말하고 싶지만 막상 입을 열면 무슨 말을 해야 할지 모르겠다. 감정이 있는 건지, 없는 건지 나도 잘 모르겠다. 그저 멍한 하루였다.",unknown,107
6,"오늘도 그냥 그런 하루였다. 특별히 기뻤던 일도 없고, 슬펐던 일도 없었다. 그냥 정해진 시간에 일어나고, 일하고, 집에 돌아왔다. 무언가 채워지지 않는 느낌이 들지만, 그게 뭔지는 모르겠다.",unknown,107
7,"택배가 분명 오늘 도착하기로 되어 있었는데, 배송 기사가 임의로 취소해버렸다. 고객센터에 전화했지만 돌아오는 건 매뉴얼 같은 답변뿐. 하루 종일 기다렸는데 이게 뭔가 싶고, 억울하고 화가 났다.",분노,108
8,"회의 중에 팀장이 내 아이디어를 가로채서 자기가 한 것처럼 발표했다. 너무 어이가 없고 화가 났지만, 그 자리에서는 아무 말도 하지 못했다. 이런 일이 한두 번도 아닌데, 점점 참는 게 지쳐간다.",분노,109
9,"오늘 지하철에서 어떤 사람이 밀치고 사과도 안 했다. 괜히 나만 예민한 건가 싶었지만, 그 사람이 나를 째려보는 걸 보고 폭발할 뻔했다. 왜 이렇게 기본적인 예의조차 없는 사람들이 많은지 모르겠다.",분노,110
10,"엄마랑 사소한 말다툼을 했는데 또 내 성격 탓을 하셨다. 어릴 때부터 참아왔던 서운함이 오늘 다 터졌다. 왜 항상 나만 잘못인 걸까. 가족이라는 이유로 상처 주는 말을 해도 괜찮은 건 아닌데, 그걸 왜 모르실까.",분노,118
